"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qfailed","dstype"
"126",113,"seed123prdrotatednt","GraphDB","sparql1",4.96414782129068,9,1813,0,0,"rot"
"127",113,"seed123prdrotatednt","GraphDB","sparql0",86.5384615384615,9,104,0,0,"rot"
"128",113,"seed123prdrotatednt","GraphDB","sparql7",0.644606789858187,9,13962,0,0,"rot"
"129",114,"seed159prdrotatednt","GraphDB","sparql6",0.0551490863634692,9,163194,0,0,"rot"
"130",114,"seed159prdrotatednt","GraphDB","sparql5",0,0,3246027,0,9,"rot"
"131",114,"seed159prdrotatednt","GraphDB","sparql4",23.1362467866324,9,389,0,0,"rot"
"132",114,"seed159prdrotatednt","GraphDB","sparql3",0.0601198388788318,9,149701,0,0,"rot"
"133",114,"seed159prdrotatednt","GraphDB","sparql2",49.7237569060773,9,181,0,0,"rot"
"134",114,"seed159prdrotatednt","GraphDB","sparql1",4.31861804222649,9,2084,0,0,"rot"
"135",114,"seed159prdrotatednt","GraphDB","sparql0",87.378640776699,9,103,0,0,"rot"
"136",114,"seed159prdrotatednt","GraphDB","sparql7",1.08030248469571,9,8331,0,0,"rot"
"137",115,"seed1prdrotatednt","GraphDB","sparql6",0.117074693654552,9,76874,0,0,"rot"
"138",115,"seed1prdrotatednt","GraphDB","sparql5",0,0,3245798,0,9,"rot"
"139",115,"seed1prdrotatednt","GraphDB","sparql4",24.8618784530387,9,362,0,0,"rot"
"140",115,"seed1prdrotatednt","GraphDB","sparql3",0.0777947773772787,9,115689,0,0,"rot"
"141",115,"seed1prdrotatednt","GraphDB","sparql2",108.433734939759,9,83,0,0,"rot"
"142",115,"seed1prdrotatednt","GraphDB","sparql1",5.24781341107872,9,1715,0,0,"rot"
"143",115,"seed1prdrotatednt","GraphDB","sparql0",86.5384615384615,9,104,0,0,"rot"
"144",115,"seed1prdrotatednt","GraphDB","sparql7",0.909826122118884,9,9892,0,0,"rot"
"145",116,"seed321prdrotatednt","GraphDB","sparql6",0.210743221093055,9,42706,0,0,"rot"
"146",116,"seed321prdrotatednt","GraphDB","sparql5",0,0,3246029,0,9,"rot"
"147",116,"seed321prdrotatednt","GraphDB","sparql4",3.45887778631822,9,2602,0,0,"rot"
"148",116,"seed321prdrotatednt","GraphDB","sparql3",0.0780098812516252,9,115370,0,0,"rot"
"149",116,"seed321prdrotatednt","GraphDB","sparql2",115.384615384615,9,78,0,0,"rot"
"150",116,"seed321prdrotatednt","GraphDB","sparql1",3.90794615718628,9,2303,0,0,"rot"
"151",116,"seed321prdrotatednt","GraphDB","sparql0",111.111111111111,9,81,0,0,"rot"
"152",116,"seed321prdrotatednt","GraphDB","sparql7",0.615258408531583,9,14628,0,0,"rot"
"153",117,"seed333prdrotatednt","GraphDB","sparql6",0.170257846049072,9,52861,0,0,"rot"
"154",117,"seed333prdrotatednt","GraphDB","sparql5",0,0,3245452,0,9,"rot"
"155",117,"seed333prdrotatednt","GraphDB","sparql4",24.3243243243243,9,370,0,0,"rot"
"156",117,"seed333prdrotatednt","GraphDB","sparql3",0.0645401870231197,9,139448,0,0,"rot"
"157",117,"seed333prdrotatednt","GraphDB","sparql2",104.651162790698,9,86,0,0,"rot"
"158",117,"seed333prdrotatednt","GraphDB","sparql1",5.64617314930991,9,1594,0,0,"rot"
"159",117,"seed333prdrotatednt","GraphDB","sparql0",0.417226832321172,9,21571,0,0,"rot"
"160",117,"seed333prdrotatednt","GraphDB","sparql7",1.05882352941176,9,8500,0,0,"rot"
"161",118,"swfcTboxsf1R100i270reconnt","GraphDB","sparql6",8.11359026369168,16,1972,0,0,"rec"
"162",118,"swfcTboxsf1R100i270reconnt","GraphDB","sparql5",0.0054243723831641,16,2949650,0,0,"rec"
"163",118,"swfcTboxsf1R100i270reconnt","GraphDB","sparql4",0.0805011194686926,16,198755,0,0,"rec"
"164",118,"swfcTboxsf1R100i270reconnt","GraphDB","sparql3",0.0653544046826431,16,244819,0,0,"rec"
"165",118,"swfcTboxsf1R100i270reconnt","GraphDB","sparql2",112.676056338028,16,142,0,0,"rec"
"166",118,"swfcTboxsf1R100i270reconnt","GraphDB","sparql1",7.37327188940092,16,2170,0,0,"rec"
"167",118,"swfcTboxsf1R100i270reconnt","GraphDB","sparql0",107.38255033557,16,149,0,0,"rec"
"168",118,"swfcTboxsf1R100i270reconnt","GraphDB","sparql7",0.289367551046245,16,55293,0,0,"rec"
"169",119,"swfcTboxorgnt","Virtuoso","sparql6",47.2631347548912,430,9098,0,0,"org"
"170",119,"swfcTboxorgnt","Virtuoso","sparql5",0.170718044063518,430,2518773,0,0,"org"
"171",119,"swfcTboxorgnt","Virtuoso","sparql4",0.861390283918244,430,499193,0,0,"org"
"172",119,"swfcTboxorgnt","Virtuoso","sparql3",3.23111488491971,430,133081,0,0,"org"
"173",119,"swfcTboxorgnt","Virtuoso","sparql2",194.394213381555,430,2212,0,0,"org"
"174",119,"swfcTboxorgnt","Virtuoso","sparql1",3.17350199635416,430,135497,0,0,"org"
"175",119,"swfcTboxorgnt","Virtuoso","sparql0",357.142857142857,430,1204,0,0,"org"
"176",119,"swfcTboxorgnt","Virtuoso","sparql7",1.45661982899961,430,295204,0,0,"org"
"177",120,"seed123prdrotatednt","Virtuoso","sparql6",65.2915005489108,2260,34614,0,0,"rot"
"178",120,"seed123prdrotatednt","Virtuoso","sparql5",5.69242278077372,2260,397019,0,0,"rot"
"179",120,"seed123prdrotatednt","Virtuoso","sparql4",13.4635204127224,2260,167861,0,0,"rot"
"180",120,"seed123prdrotatednt","Virtuoso","sparql3",5.69997452666251,2260,396493,0,0,"rot"
"181",120,"seed123prdrotatednt","Virtuoso","sparql2",248.84386698965,2260,9082,0,0,"rot"
"182",120,"seed123prdrotatednt","Virtuoso","sparql1",5.5724592298171,2260,405566,0,0,"rot"
"183",120,"seed123prdrotatednt","Virtuoso","sparql0",510.849909584087,2260,4424,0,0,"rot"
"184",120,"seed123prdrotatednt","Virtuoso","sparql7",1.03894193417889,2260,2175290,0,0,"rot"
"185",121,"seed159prdrotatednt","Virtuoso","sparql6",65.8456706184284,3438,52213,0,0,"rot"
"186",121,"seed159prdrotatednt","Virtuoso","sparql5",5.58061620521344,3438,616061,0,0,"rot"
"187",121,"seed159prdrotatednt","Virtuoso","sparql4",13.2180438986694,3438,260099,0,0,"rot"
